Income;Limit;Rating;Cards;Age;Education;Gender;Student;Married;Ethnicity;Balance
42079;6626;479;2;44;9; Male;No;No;Asian;1048
29705;3351;262;5;71;14;Female;No;Yes;Asian;148
69165;4668;341;2;34;11;Female;No;No;African American;156
41419;2120;184;4;24;11;Female;Yes;No;Caucasian;156
26427;5533;433;5;50;15;Female;Yes;Yes;Asian;1404
27.59;2586;229;5;54;16; Male;No;Yes;African American;0
76782;5977;429;4;44;12; Male;No;Yes;Asian;548
39422;5245;383;2;44;19; Male;No;No;African American;637
75406;3874;298;3;41;14;Female;No;Yes;Asian;0
28144;1567;142;3;51;10; Male;No;Yes;Caucasian;0
39705;3969;301;2;27;20; Male;No;Yes;African American;211
50699;3977;304;2;84;17;Female;No;No;African American;69
91362;9113;626;1;47;17; Male;No;Yes;Asian;1341
36929;6257;445;1;24;14;Female;No;Yes;Asian;976
18036;1552;142;2;48;15;Female;No;No;Caucasian;0
29725;3536;270;2;52;15;Female;No;No;African American;133
14595;2955;260;5;37;9; Male;No;Yes;African American;204
42915;2532;205;4;42;13; Male;No;Yes;Asian;0
27.59;2586;229;5;54;16; Male;No;Yes;African American;0
30413;3690;299;2;25;15;Female;Yes;No;Asian;728
27999;5107;380;1;55;10; Male;No;Yes;Caucasian;651
13676;2330;203;5;80;16;Female;No;No;African American;0
18951;1485;129;3;82;13;Female;No;No;Caucasian;0
44205;5441;394;1;32;12; Male;No;Yes;Caucasian;607
48218;5199;401;7;39;10; Male;No;Yes;Asian;633
101788;8029;574;2;84;11; Male;No;Yes;Caucasian;849
13647;3461;264;4;47;14; Male;No;Yes;Caucasian;344
42471;3625;289;6;44;12;Female;Yes;No;Caucasian;654
30111;4336;339;1;81;18; Male;No;Yes;Caucasian;347
42357;5550;406;2;83;12;Female;No;Yes;Asian;653
10363;2430;191;2;47;18;Female;No;Yes;Asian;0
20.15;2646;199;2;25;14;Female;No;Yes;Asian;0
32164;2937;223;2;79;15;Female;No;Yes;African American;0
20191;5767;431;4;42;16; Male;No;Yes;African American;1023
15476;2762;215;3;60;18; Male;No;No;Asian;52
55882;4897;357;2;68;16; Male;No;Yes;Caucasian;331
148924;9504;681;3;36;11;Female;No;No;Asian;964
12096;4100;307;3;32;13; Male;No;Yes;Caucasian;560
34509;2001;189;5;80;18;Female;No;Yes;African American;0
59.53;7518;543;3;52;9;Female;No;No;African American;1176
15866;3085;217;1;39;13; Male;No;No;Caucasian;136
17392;2748;228;3;32;14; Male;No;Yes;Caucasian;68
53.48;4263;317;1;83;15; Male;No;No;Caucasian;99
29725;3536;270;2;52;15;Female;No;No;African American;133
36934;4270;299;1;63;9;Female;No;Yes;Caucasian;283
92112;4612;344;3;32;17; Male;No;No;Caucasian;0
63095;8117;589;4;30;14; Male;No;Yes;Caucasian;1407
110968;6662;468;3;45;11;Female;No;Yes;Caucasian;391
27272;1389;149;5;67;10;Female;No;Yes;Caucasian;0
61.62;5140;374;1;71;9; Male;No;Yes;Caucasian;302
57872;4171;321;5;67;12;Female;No;Yes;Caucasian;138
51345;4327;320;3;46;15; Male;No;No;African American;230
14084;855;120;5;46;17;Female;No;Yes;African American;0
36364;2220;188;3;50;19; Male;No;No;Caucasian;0
17976;2433;190;3;70;16;Female;Yes;No;Caucasian;431
42079;6626;479;2;44;9; Male;No;No;Asian;1048
24.05;2607;221;4;32;18; Male;No;Yes;Caucasian;0
11808;1300;117;3;77;14;Female;No;No;African American;0
104593;7075;514;4;71;11; Male;No;No;Asian;580
42915;2532;205;4;42;13; Male;No;Yes;Asian;0
53.48;4263;317;1;83;15; Male;No;No;Caucasian;99
15846;4768;365;4;53;12;Female;No;No;Caucasian;745
30733;2832;249;4;51;13; Male;No;No;Caucasian;0
13433;1134;112;3;70;14; Male;No;Yes;Caucasian;0
31811;4284;338;5;75;13;Female;No;Yes;Caucasian;429
14084;855;120;5;46;17;Female;No;Yes;African American;0
15717;905;93;1;38;16; Male;Yes;Yes;Caucasian;0
15.56;4307;352;4;57;8; Male;No;Yes;African American;579
42079;6626;479;2;44;9; Male;No;No;Asian;1048
21238;3089;254;3;59;10;Female;No;No;Caucasian;108
68206;6784;499;5;40;16;Female;Yes;No;African American;1411
42471;3625;289;6;44;12;Female;Yes;No;Caucasian;654
73327;6555;472;2;43;15;Female;No;No;Caucasian;721
23857;1501;150;3;56;16; Male;No;Yes;Caucasian;0
92386;7685;534;2;75;18;Female;No;Yes;Asian;843
58929;6420;459;2;66;9;Female;No;Yes;African American;789
36472;3806;309;2;52;13; Male;No;No;African American;188
34509;2001;189;5;80;18;Female;No;Yes;African American;0
26.37;3235;268;5;78;11; Male;No;Yes;Asian;159
27272;1389;149;5;67;10;Female;No;Yes;Caucasian;0
27229;3484;282;6;51;11; Male;No;No;Caucasian;265
110968;6662;468;3;45;11;Female;No;Yes;Caucasian;391
35177;2117;186;3;62;16;Female;No;No;Caucasian;0
23.45;2450;180;2;78;13; Male;No;No;Caucasian;0
25936;1774;135;2;71;14;Female;No;No;Asian;0
92386;7685;534;2;75;18;Female;No;Yes;Asian;843
46007;6637;491;4;42;14; Male;No;Yes;Caucasian;1046
15354;2101;171;2;65;14; Male;No;No;Asian;0
16279;1160;126;3;78;13; Male;Yes;Yes;African American;5
44522;2252;205;6;72;15; Male;No;Yes;Asian;0
69656;8244;579;3;41;14; Male;No;Yes;African American;1329
64173;6127;433;1;80;10; Male;No;Yes;Caucasian;578
71682;8028;599;3;57;16; Male;No;Yes;Caucasian;1208
18036;1552;142;2;48;15;Female;No;No;Caucasian;0
134181;7838;563;2;48;13;Female;No;No;Caucasian;526
28508;3933;287;4;56;14; Male;No;Yes;Asian;336
26067;3388;266;4;74;17;Female;No;Yes;African American;155
29403;2327;178;1;37;14;Female;No;Yes;Caucasian;0
46007;6637;491;4;42;14; Male;No;Yes;Caucasian;1046
36142;1852;183;3;33;13;Female;No;No;African American;0
27272;1389;149;5;67;10;Female;No;Yes;Caucasian;0
151947;9156;642;2;91;11;Female;No;Yes;African American;732
140672;11200;817;7;46;9; Male;No;Yes;African American;1677
30413;3690;299;2;25;15;Female;Yes;No;Asian;728
58351;4411;326;2;85;16;Female;No;Yes;Caucasian;126
55187;5352;385;4;50;17;Female;No;Yes;Caucasian;538
10842;4391;358;5;37;10;Female;Yes;Yes;Caucasian;1216
12414;855;119;3;32;12; Male;No;Yes;African American;0
23989;4523;338;4;31;15; Male;No;No;Caucasian;601
30111;4336;339;1;81;18; Male;No;Yes;Caucasian;347
71682;8028;599;3;57;16; Male;No;Yes;Caucasian;1208
23.35;2558;220;3;49;12;Female;Yes;No;Caucasian;419
57.1;4742;372;7;79;18;Female;No;Yes;Asian;379
17055;5110;371;3;55;15;Female;No;Yes;Caucasian;805
34537;3271;250;3;57;17;Female;No;Yes;Asian;47
13561;3261;279;5;37;19; Male;No;Yes;Asian;297
49502;6819;505;4;55;14; Male;No;Yes;Caucasian;1084
27369;3449;288;3;40;9;Female;No;Yes;Caucasian;162
23012;1410;137;3;81;16; Male;No;No;Caucasian;0
113659;7659;538;2;66;15; Male;Yes;Yes;African American;1155
61.62;5140;374;1;71;9; Male;No;Yes;Caucasian;302
41419;2120;184;4;24;11;Female;Yes;No;Caucasian;156
10793;3878;321;8;29;13; Male;No;No;Caucasian;638
10726;1568;162;5;46;19; Male;No;Yes;Asian;0
23.45;2450;180;2;78;13; Male;No;No;Caucasian;0
73327;6555;472;2;43;15;Female;No;No;Caucasian;721
10363;2430;191;2;47;18;Female;No;Yes;Asian;0
24.05;2607;221;4;32;18; Male;No;Yes;Caucasian;0
62602;7056;481;1;84;11;Female;No;No;Caucasian;904
66989;5614;430;3;47;14;Female;No;Yes;Caucasian;482
37878;6827;482;2;80;13;Female;No;No;Caucasian;1129
63095;8117;589;4;30;14; Male;No;Yes;Caucasian;1407
42079;6626;479;2;44;9; Male;No;No;Asian;1048
53308;2860;214;1;84;10; Male;No;Yes;Caucasian;0
23857;1501;150;3;56;16; Male;No;Yes;Caucasian;0
51345;4327;320;3;46;15; Male;No;No;African American;230
23989;4523;338;4;31;15; Male;No;No;Caucasian;601
38954;5222;370;4;76;13;Female;No;No;Caucasian;653
30.55;5869;439;5;81;9;Female;No;No;African American;967
36364;2220;188;3;50;19; Male;No;No;Caucasian;0
92386;7685;534;2;75;18;Female;No;Yes;Asian;843
12335;4471;344;3;79;12; Male;No;Yes;African American;611
33214;5137;387;3;59;9; Male;No;No;African American;661
42471;3625;289;6;44;12;Female;Yes;No;Caucasian;654
12581;3976;291;2;48;16; Male;No;Yes;Caucasian;474
148.08;8157;599;2;83;13; Male;No;Yes;Caucasian;454
14312;5382;367;1;59;17; Male;Yes;No;Asian;1380
36364;2220;188;3;50;19; Male;No;No;Caucasian;0
53598;3714;286;3;73;17;Female;No;Yes;African American;0
89;5759;440;3;37;6;Female;No;No;Caucasian;345
15866;3085;217;1;39;13; Male;No;No;Caucasian;136
31861;6375;469;3;25;16;Female;No;Yes;Caucasian;1120
26813;5611;411;4;55;16;Female;No;No;Caucasian;915
34509;2001;189;5;80;18;Female;No;Yes;African American;0
19144;3291;269;2;75;13;Female;No;No;African American;148
12238;4865;381;5;67;11;Female;No;No;Caucasian;836
56256;5521;406;2;72;16;Female;Yes;Yes;Caucasian;1020
158889;11589;805;1;62;17;Female;No;Yes;Caucasian;1448
43.54;2906;232;4;69;11; Male;No;No;Caucasian;0
76348;4697;344;4;60;18; Male;No;No;Asian;108
35691;2880;214;2;35;15; Male;No;No;African American;0
21374;2073;175;2;74;11;Female;No;Yes;Caucasian;0
41.4;2561;215;2;36;14; Male;No;Yes;Caucasian;0
42357;5550;406;2;83;12;Female;No;Yes;Asian;653
34142;5666;413;4;47;5;Female;No;Yes;Caucasian;863
149316;10278;707;1;80;16; Male;No;No;African American;1107
35864;4831;353;3;66;13;Female;No;Yes;Caucasian;534
23857;1501;150;3;56;16; Male;No;Yes;Caucasian;0
62602;7056;481;1;84;11;Female;No;No;Caucasian;904
104483;7140;507;2;41;14; Male;No;Yes;African American;583
59.53;7518;543;3;52;9;Female;No;No;African American;1176
14891;3606;283;2;34;11; Male;No;Yes;Caucasian;333
63931;5728;435;3;28;14;Female;No;Yes;African American;581
19225;1433;122;3;38;14;Female;No;No;Caucasian;0
36362;5183;376;3;49;15; Male;No;Yes;African American;654
19225;1433;122;3;38;14;Female;No;No;Caucasian;0
63534;8100;581;2;50;17;Female;No;Yes;Caucasian;1298
31811;4284;338;5;75;13;Female;No;Yes;Caucasian;429
13364;3838;296;5;65;17; Male;No;No;African American;480
53308;2860;214;1;84;10; Male;No;Yes;Caucasian;0
36496;4378;339;3;69;15;Female;No;Yes;Asian;368
15476;2762;215;3;60;18; Male;No;No;Asian;52
41.4;2561;215;2;36;14; Male;No;Yes;Caucasian;0
24.23;4756;351;2;64;15;Female;No;Yes;Caucasian;594
113772;6442;489;4;69;15; Male;Yes;Yes;Caucasian;790
63095;8117;589;4;30;14; Male;No;Yes;Caucasian;1407
80616;5308;394;1;57;7;Female;No;Yes;Asian;204
35864;4831;353;3;66;13;Female;No;Yes;Caucasian;534
36508;6386;469;4;79;6;Female;No;Yes;Caucasian;1048
10354;3480;281;2;70;17; Male;No;Yes;Caucasian;333
20191;5767;431;4;42;16; Male;No;Yes;African American;1023
36295;2963;241;2;68;14;Female;Yes;No;African American;375
58063;4221;304;3;50;8; Male;No;No;African American;118
12031;3182;259;2;58;18;Female;No;Yes;Caucasian;210
10635;3584;294;5;69;16; Male;No;Yes;Asian;423
53319;3000;235;3;53;13; Male;No;No;Asian;0
10726;1568;162;5;46;19; Male;No;Yes;Asian;0
19349;4941;366;1;33;19; Male;No;Yes;Caucasian;717
27.33;6179;459;4;36;12;Female;No;Yes;Caucasian;1099
24.46;1924;165;2;50;14;Female;No;Yes;Asian;0
10793;3878;321;8;29;13; Male;No;No;Caucasian;638
24543;3206;243;2;62;12;Female;No;Yes;Caucasian;95
41532;5000;353;2;50;12; Male;No;Yes;Caucasian;531
44158;4763;351;2;66;13;Female;No;Yes;Asian;385
19636;4896;387;3;64;10;Female;No;No;African American;710
16711;5274;387;3;42;16;Female;No;Yes;Asian;863
66989;5614;430;3;47;14;Female;No;Yes;Caucasian;482
140672;11200;817;7;46;9; Male;No;Yes;African American;1677
115123;7760;538;3;83;14;Female;No;No;African American;661
25078;3096;236;2;27;15;Female;No;Yes;Caucasian;81
149316;10278;707;1;80;16; Male;No;No;African American;1107
20088;1870;180;3;76;16; Male;No;No;African American;0
16482;3326;268;4;41;15; Male;No;No;Caucasian;271
34664;5835;452;3;77;15;Female;No;Yes;African American;835
128.04;6982;518;2;78;11;Female;No;Yes;Caucasian;250
101788;8029;574;2;84;11; Male;No;Yes;Caucasian;849
35177;2117;186;3;62;16;Female;No;No;Caucasian;0
37348;6378;458;1;72;17;Female;No;No;Caucasian;968
20191;5767;431;4;42;16; Male;No;Yes;African American;1023
19531;5043;376;2;64;16;Female;Yes;Yes;Asian;1241
146183;9540;682;6;66;15; Male;No;No;Caucasian;1050
14084;855;120;5;46;17;Female;No;Yes;African American;0
49794;5758;410;4;40;8; Male;No;No;Caucasian;734
44061;4970;352;1;79;11; Male;No;Yes;African American;414
23883;5384;398;2;73;16;Female;No;Yes;African American;802
15184;2420;192;2;69;11;Female;No;Yes;Caucasian;0
23012;1410;137;3;81;16; Male;No;No;Caucasian;0
26067;3388;266;4;74;17;Female;No;Yes;African American;155
28144;1567;142;3;51;10; Male;No;Yes;Caucasian;0
113829;9704;694;4;38;13;Female;No;Yes;Asian;1388
23883;5384;398;2;73;16;Female;No;Yes;African American;802
128.04;6982;518;2;78;11;Female;No;Yes;Caucasian;250
25124;4776;378;4;29;12; Male;No;Yes;Caucasian;657
49166;6662;508;3;68;14;Female;No;No;Asian;984
40885;5013;379;3;46;13;Female;No;Yes;African American;549
21153;3736;256;1;41;11; Male;No;No;Caucasian;298
71061;6819;491;3;41;19;Female;Yes;Yes;African American;1350
51532;5096;380;2;31;15; Male;No;Yes;Caucasian;481
55367;6340;448;1;33;15; Male;No;Yes;Caucasian;815
148.08;8157;599;2;83;13; Male;No;Yes;Caucasian;454
31335;3526;289;3;38;7;Female;No;No;Caucasian;172
125.48;10230;721;3;82;16; Male;No;Yes;Caucasian;1361
14084;855;120;5;46;17;Female;No;Yes;African American;0
22379;3965;292;2;34;14;Female;No;Yes;Asian;384
61069;7871;564;3;56;14; Male;No;Yes;Caucasian;1264
27952;3557;263;1;35;13;Female;No;Yes;Asian;163
14312;5382;367;1;59;17; Male;Yes;No;Asian;1380
60579;5149;388;5;38;15; Male;No;Yes;Asian;443
53.48;4263;317;1;83;15; Male;No;No;Caucasian;99
24919;5051;372;3;76;11;Female;No;Yes;African American;711
23.35;2558;220;3;49;12;Female;Yes;No;Caucasian;419
27039;2161;173;3;40;17;Female;No;No;Caucasian;0
31335;3526;289;3;38;7;Female;No;No;Caucasian;172
14084;855;120;5;46;17;Female;No;Yes;African American;0
20089;2525;200;3;57;15;Female;No;Yes;African American;0
16479;5435;388;2;26;16; Male;No;No;African American;937
41.4;2561;215;2;36;14; Male;No;Yes;Caucasian;0
27.47;2820;219;1;32;11;Female;No;Yes;Asian;0
75406;3874;298;3;41;14;Female;No;Yes;Asian;0
42079;6626;479;2;44;9; Male;No;No;Asian;1048
28316;4391;316;2;29;10;Female;No;No;Caucasian;453
39422;5245;383;2;44;19; Male;No;No;African American;637
44061;4970;352;1;79;11; Male;No;Yes;African American;414
15354;2101;171;2;65;14; Male;No;No;Asian;0
148924;9504;681;3;36;11;Female;No;No;Asian;964
27039;2161;173;3;40;17;Female;No;No;Caucasian;0
26.4;5640;398;3;58;15;Female;No;No;Asian;905
22561;1787;147;4;66;15;Female;No;No;Caucasian;0
58063;4221;304;3;50;8; Male;No;No;African American;118
36934;4270;299;1;63;9;Female;No;Yes;Caucasian;283
35864;4831;353;3;66;13;Female;No;Yes;Caucasian;534
14132;2998;251;4;75;17; Male;No;No;Caucasian;133
76782;5977;429;4;44;12; Male;No;Yes;Asian;548
23989;4523;338;4;31;15; Male;No;No;Caucasian;601
36472;3806;309;2;52;13; Male;No;No;African American;188
43682;6922;511;1;49;9; Male;No;Yes;Caucasian;1081
50699;3977;304;2;84;17;Female;No;No;African American;69
10363;2430;191;2;47;18;Female;No;Yes;Asian;0
180379;9310;665;3;67;8;Female;Yes;Yes;Asian;1050
69943;7555;547;3;76;9; Male;No;Yes;Asian;1058
22574;1551;134;3;43;13;Female;Yes;Yes;Caucasian;98
10735;3746;280;2;44;17;Female;No;Yes;Caucasian;410
15333;1499;138;2;47;9;Female;No;Yes;Asian;0
33437;6207;451;4;44;9; Male;Yes;No;Caucasian;1549
43.54;2906;232;4;69;11; Male;No;No;Caucasian;0
23.35;2558;220;3;49;12;Female;Yes;No;Caucasian;419
32164;2937;223;2;79;15;Female;No;Yes;African American;0
39609;2539;188;1;40;14; Male;No;Yes;Asian;0
36508;6386;469;4;79;6;Female;No;Yes;Caucasian;1048
12;4160;320;4;28;14;Female;No;Yes;Caucasian;602
52179;7306;522;2;57;14; Male;No;No;Asian;1142
55054;4381;321;3;74;17; Male;No;Yes;Asian;188
10403;4159;310;3;43;7; Male;No;Yes;Asian;571
148924;9504;681;3;36;11;Female;No;No;Asian;964
91362;9113;626;1;47;17; Male;No;Yes;Asian;1341
12096;4100;307;3;32;13; Male;No;Yes;Caucasian;560
43.54;2906;232;4;69;11; Male;No;No;Caucasian;0
31335;3526;289;3;38;7;Female;No;No;Caucasian;172
104483;7140;507;2;41;14; Male;No;Yes;African American;583
71408;7114;512;2;87;9; Male;No;No;Asian;872
22561;1787;147;4;66;15;Female;No;No;Caucasian;0
16751;4706;353;6;48;14; Male;Yes;No;Asian;1255
27794;3807;301;4;35;8;Female;No;Yes;African American;320
15045;1311;138;3;64;16; Male;No;No;Caucasian;0
16479;5435;388;2;26;16; Male;No;No;African American;937
21153;3736;256;1;41;11; Male;No;No;Caucasian;298
46102;5180;382;3;81;12; Male;No;Yes;African American;516
22379;3965;292;2;34;14;Female;No;Yes;Asian;384
55056;3155;235;2;31;16; Male;No;Yes;African American;0
15333;1499;138;2;47;9;Female;No;Yes;Asian;0
59879;6906;527;6;78;15;Female;No;No;Caucasian;1032
30002;1561;155;4;70;13;Female;No;Yes;Caucasian;0
55187;5352;385;4;50;17;Female;No;Yes;Caucasian;538
49502;6819;505;4;55;14; Male;No;Yes;Caucasian;1084
15602;906;103;2;36;11; Male;No;Yes;African American;0
26162;5101;382;3;62;19;Female;No;No;African American;710
24314;3409;270;2;23;7;Female;No;Yes;Caucasian;194
28144;1567;142;3;51;10; Male;No;Yes;Caucasian;0
17316;1335;138;2;65;13; Male;No;No;African American;0
27.47;2820;219;1;32;11;Female;No;Yes;Asian;0
146183;9540;682;6;66;15; Male;No;No;Caucasian;1050
186634;13414;949;2;41;14;Female;No;Yes;African American;1809
26.4;5640;398;3;58;15;Female;No;No;Asian;905
42357;5550;406;2;83;12;Female;No;Yes;Asian;653
23793;3821;281;4;56;12;Female;Yes;Yes;African American;868
55412;5354;383;2;37;16;Female;Yes;Yes;Caucasian;1003
10588;4049;296;1;66;13;Female;No;Yes;Caucasian;465
51345;4327;320;3;46;15; Male;No;No;African American;230
28144;1567;142;3;51;10; Male;No;Yes;Caucasian;0
23.45;2450;180;2;78;13; Male;No;No;Caucasian;0
53217;4943;362;2;46;16;Female;No;Yes;Asian;382
104593;7075;514;4;71;11; Male;No;No;Asian;580
64027;5179;398;5;48;8; Male;No;Yes;African American;411
10354;3480;281;2;70;17; Male;No;Yes;Caucasian;333
17.7;2860;235;4;63;16;Female;No;No;Asian;89
41532;5000;353;2;50;12; Male;No;Yes;Caucasian;531
26067;3388;266;4;74;17;Female;No;Yes;African American;155
49794;5758;410;4;40;8; Male;No;No;Caucasian;734
12068;3873;292;1;44;18;Female;No;Yes;Asian;413
21786;4632;355;1;50;17; Male;No;Yes;Caucasian;580
123299;8376;610;2;89;17; Male;Yes;No;African American;1259
17392;2748;228;3;32;14; Male;No;Yes;Caucasian;68
89;5759;440;3;37;6;Female;No;No;Caucasian;345
80861;4090;335;3;29;15;Female;No;Yes;Asian;0
25383;4527;367;4;46;11; Male;No;Yes;Caucasian;570
39609;2539;188;1;40;14; Male;No;Yes;Asian;0
13561;3261;279;5;37;19; Male;No;Yes;Asian;297
17976;2433;190;3;70;16;Female;Yes;No;Caucasian;431
148924;9504;681;3;36;11;Female;No;No;Asian;964
25078;3096;236;2;27;15;Female;No;Yes;Caucasian;81
25988;1349;142;4;82;12; Male;No;No;Caucasian;0
87625;7167;515;2;46;10;Female;No;No;African American;767
110968;6662;468;3;45;11;Female;No;Yes;Caucasian;391
36355;3613;278;4;35;9; Male;No;Yes;Asian;187
19782;3782;293;2;46;16;Female;Yes;No;Caucasian;840
40885;5013;379;3;46;13;Female;No;Yes;African American;549
92112;4612;344;3;32;17; Male;No;No;Caucasian;0
91362;9113;626;1;47;17; Male;No;Yes;Asian;1341
186634;13414;949;2;41;14;Female;No;Yes;African American;1809
27272;1389;149;5;67;10;Female;No;Yes;Caucasian;0
55187;5352;385;4;50;17;Female;No;Yes;Caucasian;538
22379;3965;292;2;34;14;Female;No;Yes;Asian;384
180682;11966;832;2;58;8;Female;No;Yes;African American;1405
44646;4431;320;2;49;15; Male;Yes;Yes;Caucasian;797
16479;5435;388;2;26;16; Male;No;No;African American;937
42471;3625;289;6;44;12;Female;Yes;No;Caucasian;654
63095;8117;589;4;30;14; Male;No;Yes;Caucasian;1407
68713;7582;531;2;56;16; Male;Yes;No;Caucasian;1587
62602;7056;481;1;84;11;Female;No;No;Caucasian;904
31353;1705;160;3;81;14; Male;No;Yes;Caucasian;0
123299;8376;610;2;89;17; Male;Yes;No;African American;1259
28474;3202;267;5;66;12; Male;No;Yes;Caucasian;132
35.51;5198;364;2;35;20;Female;No;No;Asian;631
30.42;4442;316;1;30;14;Female;No;No;African American;450
15476;2762;215;3;60;18; Male;No;No;Asian;52
32164;2937;223;2;79;15;Female;No;Yes;African American;0
28144;1567;142;3;51;10; Male;No;Yes;Caucasian;0
28474;3202;267;5;66;12; Male;No;Yes;Caucasian;132
125.48;10230;721;3;82;16; Male;No;Yes;Caucasian;1361
32164;2937;223;2;79;15;Female;No;Yes;African American;0
30007;6481;462;2;69;9;Female;No;Yes;Caucasian;1093
59879;6906;527;6;78;15;Female;No;No;Caucasian;1032
36362;5183;376;3;49;15; Male;No;Yes;African American;654
33657;6196;450;6;55;9;Female;No;No;Caucasian;1092
21551;5380;420;5;51;18; Male;No;Yes;Asian;907
10726;1568;162;5;46;19; Male;No;Yes;Asian;0
15866;3085;217;1;39;13; Male;No;No;Caucasian;136
76273;4779;367;4;65;14;Female;No;Yes;Caucasian;133
89;5759;440;3;37;6;Female;No;No;Caucasian;345
148924;9504;681;3;36;11;Female;No;No;Asian;964
55367;6340;448;1;33;15; Male;No;Yes;Caucasian;815
14711;2047;167;2;67;6; Male;No;Yes;Caucasian;0
49502;6819;505;4;55;14; Male;No;Yes;Caucasian;1084
24889;3954;318;4;75;12; Male;No;Yes;Caucasian;357
10793;3878;321;8;29;13; Male;No;No;Caucasian;638
22379;3965;292;2;34;14;Female;No;Yes;Asian;384
23375;5429;396;3;57;15;Female;No;Yes;Caucasian;844
27369;3449;288;3;40;9;Female;No;Yes;Caucasian;162
17976;2433;190;3;70;16;Female;Yes;No;Caucasian;431
41419;2120;184;4;24;11;Female;Yes;No;Caucasian;156
16304;5466;413;4;66;10; Male;No;Yes;Asian;957
19782;3782;293;2;46;16;Female;Yes;No;Caucasian;840
10627;1647;149;2;71;10;Female;Yes;Yes;Asian;195
34.95;3327;253;3;54;14;Female;No;No;African American;50
11187;5099;380;4;69;16;Female;No;No;African American;889
13433;1134;112;3;70;14; Male;No;Yes;Caucasian;0
20936;3254;253;1;30;15;Female;No;No;Asian;145
31861;6375;469;3;25;16;Female;No;Yes;Caucasian;1120
44646;4431;320;2;49;15; Male;Yes;Yes;Caucasian;797
24889;3954;318;4;75;12; Male;No;Yes;Caucasian;357
15602;906;103;2;36;11; Male;No;Yes;African American;0
54319;3063;248;3;59;8;Female;Yes;No;Caucasian;269
10627;1647;149;2;71;10;Female;Yes;Yes;Asian;195
53319;3000;235;3;53;13; Male;No;No;Asian;0
39.11;3189;263;3;72;12; Male;No;No;Asian;0
27.33;6179;459;4;36;12;Female;No;Yes;Caucasian;1099
27241;1402;128;2;67;15;Female;No;Yes;Asian;0
13433;1134;112;3;70;14; Male;No;Yes;Caucasian;0
29403;2327;178;1;37;14;Female;No;Yes;Caucasian;0
18036;1552;142;2;48;15;Female;No;No;Caucasian;0
134181;7838;563;2;48;13;Female;No;No;Caucasian;526
16482;3326;268;4;41;15; Male;No;No;Caucasian;271
13676;2330;203;5;80;16;Female;No;No;African American;0
27039;2161;173;3;40;17;Female;No;No;Caucasian;0
20103;2631;213;3;61;10; Male;No;Yes;African American;0
54663;4116;314;2;70;8;Female;No;No;African American;75
44978;4866;347;1;30;10;Female;No;No;Caucasian;436
36508;6386;469;4;79;6;Female;No;Yes;Caucasian;1048
39831;6045;459;3;32;12;Female;Yes;Yes;African American;1425
30622;3293;251;1;68;16; Male;Yes;No;Caucasian;532
27349;2000;169;4;51;16;Female;No;Yes;African American;0
93039;7398;517;1;67;12; Male;No;Yes;African American;749
72945;8603;621;3;64;8;Female;No;No;Caucasian;1355
123299;8376;610;2;89;17; Male;Yes;No;African American;1259
13444;886;121;5;44;10; Male;No;Yes;Asian;0
14132;2998;251;4;75;17; Male;No;No;Caucasian;133
149316;10278;707;1;80;16; Male;No;No;African American;1107
23949;5343;383;2;40;18; Male;No;Yes;African American;829
36364;2220;188;3;50;19; Male;No;No;Caucasian;0
106025;6645;483;3;82;15;Female;Yes;Yes;Asian;903
10403;4159;310;3;43;7; Male;No;Yes;Asian;571
80.18;8047;569;4;77;10; Male;No;No;Caucasian;1151
60579;5149;388;5;38;15; Male;No;Yes;Asian;443
27512;4613;344;5;72;17; Male;No;Yes;Asian;573
140672;11200;817;7;46;9; Male;No;Yes;African American;1677
61.62;5140;374;1;71;9; Male;No;Yes;Caucasian;302
55187;5352;385;4;50;17;Female;No;Yes;Caucasian;538
15846;4768;365;4;53;12;Female;No;No;Caucasian;745
23365;2179;167;2;75;15; Male;No;No;Asian;0
22561;1787;147;4;66;15;Female;No;No;Caucasian;0
75406;3874;298;3;41;14;Female;No;Yes;Asian;0
20103;2631;213;3;61;10; Male;No;Yes;African American;0
58929;6420;459;2;66;9;Female;No;Yes;African American;789
16529;1357;126;3;62;9; Male;No;No;Asian;0
19782;3782;293;2;46;16;Female;Yes;No;Caucasian;840
58026;7499;560;5;67;11;Female;No;No;Caucasian;1237
26.37;3235;268;5;78;11; Male;No;Yes;Asian;159
87625;7167;515;2;46;10;Female;No;No;African American;767
19225;1433;122;3;38;14;Female;No;No;Caucasian;0
56256;5521;406;2;72;16;Female;Yes;Yes;Caucasian;1020
61.62;5140;374;1;71;9; Male;No;Yes;Caucasian;302
10403;4159;310;3;43;7; Male;No;Yes;Asian;571
68206;6784;499;5;40;16;Female;Yes;No;African American;1411
38009;3075;245;3;45;15;Female;No;No;African American;0
30.42;4442;316;1;30;14;Female;No;No;African American;450
42357;5550;406;2;83;12;Female;No;Yes;Asian;653
34772;2021;167;3;57;9; Male;No;No;Asian;0
151947;9156;642;2;91;11;Female;No;Yes;African American;732
23793;3615;263;2;70;14; Male;No;No;African American;216
19782;3782;293;2;46;16;Female;Yes;No;Caucasian;840
113829;9704;694;4;38;13;Female;No;Yes;Asian;1388
13647;3461;264;4;47;14; Male;No;Yes;Caucasian;344
15602;906;103;2;36;11; Male;No;Yes;African American;0
29564;2529;192;1;30;12;Female;No;Yes;Caucasian;0
